COOPID, YEAR, MONTH, DAY, meanTemp
80211,1931,1,1,-99.90000
80211,1931,1,2,-99.90000
80211,1931,1,3,-99.90000
80211,1931,1,4,-99.90000
80211,1931,1,5,-99.90000
80211,1931,1,6,-99.90000
80211,1931,1,7,-99.90000
80211,1931,1,8,-99.90000
80211,1931,1,9,-99.90000
80211,1931,1,10,-99.90000
80211,1931,1,11,-99.90000
80211,1931,1,12,-99.90000
80211,1931,1,13,-99.90000
80211,1931,1,14,-99.90000
80211,1931,1,15,-99.90000
80211,1931,1,16,-99.90000
80211,1931,1,17,-99.90000
80211,1931,1,18,-99.90000
80211,1931,1,19,-99.90000
80211,1931,1,20,-99.90000
80211,1931,1,21,-99.90000
80211,1931,1,22,-99.90000
80211,1931,1,23,-99.90000
80211,1931,1,24,-99.90000
80211,1931,1,25,-99.90000
80211,1931,1,26,-99.90000
80211,1931,1,27,-99.90000
80211,1931,1,28,-99.90000
80211,1931,1,29,-99.90000
80211,1931,1,30,-99.90000
80211,1931,1,31,-99.90000
80211,1931,2,1,-99.90000
80211,1931,2,2,-99.90000
80211,1931,2,3,-99.90000
80211,1931,2,4,-99.90000
80211,1931,2,5,-99.90000
80211,1931,2,6,-99.90000
80211,1931,2,7,-99.90000
80211,1931,2,8,-99.90000
80211,1931,2,9,-99.90000
80211,1931,2,10,-99.90000
80211,1931,2,11,-99.90000
80211,1931,2,12,-99.90000
80211,1931,2,13,-99.90000
80211,1931,2,14,-99.90000
80211,1931,2,15,-99.90000
80211,1931,2,16,-99.90000
80211,1931,2,17,-99.90000
80211,1931,2,18,-99.90000
80211,1931,2,19,-99.90000
80211,1931,2,20,-99.90000
80211,1931,2,21,-99.90000
80211,1931,2,22,-99.90000
80211,1931,2,23,-99.90000
80211,1931,2,24,-99.90000
80211,1931,2,25,-99.90000
80211,1931,2,26,-99.90000
80211,1931,2,27,-99.90000
80211,1931,2,28,-99.90000
80211,1931,2,29,-99.90000
80211,1931,3,1,65.00000
80211,1931,3,2,55.00000
80211,1931,3,3,50.00000
80211,1931,3,4,46.00000
80211,1931,3,5,48.50000
80211,1931,3,6,53.50000
80211,1931,3,7,63.00000
80211,1931,3,8,51.00000
80211,1931,3,9,47.00000
80211,1931,3,10,47.50000
80211,1931,3,11,55.00000
80211,1931,3,12,58.50000
80211,1931,3,13,57.00000
80211,1931,3,14,62.50000
80211,1931,3,15,65.50000
80211,1931,3,16,55.00000
80211,1931,3,17,51.50000
80211,1931,3,18,54.00000
80211,1931,3,19,58.50000
80211,1931,3,20,59.50000
80211,1931,3,21,60.50000
80211,1931,3,22,54.50000
80211,1931,3,23,57.00000
80211,1931,3,24,60.50000
80211,1931,3,25,64.50000
80211,1931,3,26,60.00000
